date	Species	tube	male	egg_present	time_after_spawning_h	drop_ID	time_after_spawning.min	Total_Sperm	Total_Paths	Slow_Sperm	Motile_Sperm	Progressive_Motile_Sperm	Total_motile_sperm	Percent_Motile	Percent_Progressive	Percent_Total_Motile	Avg_Motile_VCL	Avg_Motile_VAP	Avg_Motile_VSL	Avg_Prog_Motile_VCL	Avg_Prog_Motile_VAP	Avg_Prog_Motile_VSL	Avg_Tot_Motile_VCL	Avg_Tot_Motile_VAP	Avg_Tot_Motile_VSL	percent_slow	time_after_min_round	spawn_event_id	timepoint_id
2023-02-10	D. pertusum	1	47	no	17	a	17	749.666666666667	88	7.33333333333333	74	6	80	9.87679866983857	0.800034217281976	10.6768328871205	65.4080639940228	47.5460241112975	38.8306147296727	115.004085390386	92.6666237959416	84.0996243449392	69.525424869368	51.3107899543065	42.6430139987561	8.51449275362319	17	1	1
2023-02-10	D. pertusum	1	47	no	17	b	17	1282	112.333333333333	18.6666666666667	88	5.33333333333333	93.3333333333333	6.8442824442396	0.409123899398518	7.25340634363812	56.9601041177651	41.2734716532181	34.5828216650826	120.102849021544	92.0921252519775	77.9669988300543	60.205164563435	43.9474556988677	36.9153881855986	16.9906181556667	17	1	1
2023-02-10	D. pertusum	1	47	no	17	c	17	1199.33333333333	95.6666666666667	19	72	4	76	5.88524461305339	0.319045647540223	6.20429026059361	56.5044454813572	40.1644412025171	34.2009609458454	115.777571985836	92.9406165459708	83.9362892204703	59.7406162497831	42.9055365958701	36.7108007372685	20.172042355141	17	1	1
2023-02-11	D. pertusum	1	36	no	0.083	a	0.083	193	6.33333333333333	2.33333333333333	4	0	4	2.07816752315381	0	2.07816752315381	46.4456426725465	35.3039333704105	29.9205840097763	NA	NA	NA	46.4456426725465	35.3039333704105	29.9205840097763	38.6904761904762	0.083	2	2
2023-02-11	D. pertusum	1	36	no	0.083	b	0.083	204.333333333333	4.33333333333333	1	3.33333333333333	0	3.33333333333333	1.66513976979093	0	1.66513976979093	43.6177052513922	35.5275355178759	34.75074313549	NA	NA	NA	43.6177052513922	35.5275355178759	34.75074313549	25	0.083	2	2
2023-02-11	D. pertusum	1	36	no	0.083	c	0.083	165.5	1.5	0.5	1	0	1	0.605473037242994	0	0.605473037242994	32.7522370817362	28.7389928505599	21.187682004909	NA	NA	NA	32.7522370817362	28.7389928505599	21.187682004909	25	0.083	2	2
2023-02-11	D. pertusum	1	36	yes	0.083	a	0.083	147	36.6666666666667	1.33333333333333	28	6.66666666666667	34.6666666666667	18.9640234203134	4.47932531221444	23.4433487325278	65.1342125134309	47.1256138733221	36.3840911732253	112.279786073016	93.5138561601583	65.6068342724062	74.3914559513655	56.3478618968575	42.1838791229615	3.67900505071821	0.083	2	3
2023-02-11	D. pertusum	1	36	yes	0.083	b	0.083	126	22.3333333333333	0.666666666666667	19.6666666666667	2	21.6666666666667	15.628296053828	1.54967569861187	17.1779717524398	65.0532114828228	51.1905221604007	32.8977012024123	99.2898252192343	85.25703537251	81.1890629004214	68.1424572134562	54.3285040252759	37.1239703655474	2.77777777777778	0.083	2	3
2023-02-11	D. pertusum	1	36	yes	0.083	c	0.083	118	27	1.33333333333333	21	4.33333333333333	25.3333333333333	17.809425232119	3.45499428045682	21.2644195125758	63.8949116533378	47.2957894905884	29.9334582758218	114.041186639735	92.8314221206856	62.1912752436091	72.3525613781471	55.1552171050699	35.6589967923725	5.41125541125541	0.083	2	3
2023-02-13	D. pertusum	1	48	no	2.333	a	2.333	1039.33333333333	152	18	111	21.6666666666667	132.666666666667	10.6818614042364	2.08712358037832	12.7689849846147	64.1090317832339	45.2416253045699	39.3951551544561	114.272519652495	94.2494877554823	91.0132222334053	72.5272360330813	53.4770030151694	48.0755558870135	11.8531368849315	2.333	3	4
